section,code,question,help,condition,answer_format,answer_file,de,nl,uk,us,zaf,nzl,aus,can,world,country_specific,other,random,mandatory,public,trans_de-informal,trans_fr
1,socio1,In which country do you work?,,,ONE CHOICE,countries,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,In welchem Land arbeitest Du?,Dans quel pays travaillez-vous?
1,rse1,Do you write software for academic research as part of your job,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Entwickelst Du in Deiner Arbeitszeit Software fÌ_r Forschung und Wissenschaft? Schreibst Du z.B. Quellcode oder Skripte?,Votre travail prÌ©voit-il la crÌ©ation de logiciels pour la recherche universitaire?
1,edu1,What is the highest level of education you have attained?,,,ONE CHOICE,education,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,"Was ist Dein hÌ¦chster, an einer Bildungseinrichtung erworbener Abschluss?",Jusqu‰ÛªoÌ_ avez-vous poussÌ© vos Ì©tudes?
1,edu2,In which discipline is your highest academic qualification?,,,ONE CHOICE,academic_field,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,In welchem Bereich hast Du diesen Bildungsabschluss erlangt?,Dans quelle discipline avez-vous obtenu votre plus haut diplÌ«me?
1,edu4,"List any professional qualifications you hold (eg. P. Eng, PMP, ‰Û_)?",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Besitzt Du weitere AbschlÌ_sse? Wenn ja, welche?","Veuillez Ì©numÌ©rer vos titres de compÌ©tences professionnels (par ex., ingÌ©nieur, gestionnaire de projets agrÌ©Ì©, etc.)"
1,rse4de,Does the majority of your role comprise leading a group of software developers or RSEs?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Umfasst ein GroÌÙteil Deiner Arbeit die Leitung einer Gruppe von Softwareentwicklern oder RSEs?,
1,rse3,Who uses the code that you write?,,,LIKERT,likert_usage_5,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wer nutzt den von Dir geschrieben Code?,Qui utilise le code que vous rÌ©digez?
1,soft2can,Do you consider yourself a professional software developer?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,WÌ_rdest Du Dich als professionellen Softwareentwickler bezeichnen?,Vous considÌ©rez-vous comme un dÌ©veloppeur de logiciels professionnel?
1,soft1can,How many years of software development experience do you have?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Jahre Erfahrung hast Du bei der Entwicklung von Software?,Combien d‰ÛªannÌ©es d‰ÛªexpÌ©rience cumulez-vous en dÌ©veloppement de logiciels?
1,time1can,"On average, what percentage of your time is spent developing software?",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Wieviel Zeit verbringst Du im Durchschnitt monatlich mit der Entwicklung von Software? (Bitte wÌ_hle zwischen 1 und 10, 1 = gar nicht, 10 = jederzeit, immer)",Quel pourcentage de votre temps consacrez-vous en moyenne au dÌ©veloppement de logiciels?
1,time2can,"On average, what percentage of your time is spent on research",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Forschung?,Quel pourcentage de votre temps consacrez-vous en moyenne ÌÊ la recherche?
